text,event
aller au travail/ école à pieds,AP pour aller au travail/école/course
w-e se déplacé en vélo pour aller cherche le pain,AP en extérieure
essayer de nv chemin de randonnés,Diversité des AP/sorties
utiliser la matériel sportif en possesion de la famille,AP à la maison
"utilisation des applications (sport, randonnées)",Utilisation des applications d'AP
sorti le chien à tour de rôle,Marche
randonné le dimanche,AP en famille
trouver une activité que l'on aime,AP en structure
tenir cette activitée,Régularité de l'AP
30min de marche/jour,AP & recommandations
réduire utilisation de l'ascenseurs,Prise des escaliers
limiter sédentarité,Sédentarité
tester activités proposer sur son territoire (vélorail),Nouveauté AP
diversifer AP et rendre plus fun,Plaisir
promener le chien plus longtemps que d'habitude,Promenade/Balade
